tech_score,exp_score,comm_score,final_score
74,88,86,80.3463666175146
72,32,35,54.36518191782533
98,97,86,94.96285501828625
44,69,33,45.569281482308156
81,77,40,71.34186273989165
78,83,40,71.33094723840304
97,64,37,66.60954021101489
80,85,88,86.97467479711024
67,69,50,68.92231722814311
46,97,94,73.61904453231622
48,75,53,61.523529098614276
47,42,59,47.02045432224226
51,56,86,56.92962944349734
73,35,46,60.9445268519836
72,46,88,62.106082795373965
87,65,60,69.53279787140721
94,31,93,77.14069363703355
62,81,77,72.80381598845857
63,95,52,75.05036229651117
76,81,99,73.5477882493592
74,72,59,69.9112887960325
83,51,84,67.94816639567287
79,84,36,76.17647106601157
61,96,41,74.16874524313758
66,89,89,80.02247838427652
74,87,81,76.51076072373282
40,41,56,39.75707423663353
74,98,41,72.5408570133765
76,68,42,62.59437803913855
86,42,91,73.0037942549402
53,70,58,55.34567291438475
42,86,64,52.69175445103481
40,82,89,64.3032321397258
44,41,58,48.18912010625333
65,42,60,65.59709996200846
94,86,90,88.63403125332871
53,69,31,43.94897671675536
78,74,62,77.67650711330103
66,64,91,75.03878127423765
48,32,88,56.910008190411745
54,34,69,58.3566216835798
54,40,78,62.02765364508919
65,85,61,65.31611776083389
81,39,67,73.34038777415432
99,63,42,75.15982347590565
52,96,83,75.39218413941826
90,60,42,72.69746360515424
71,95,68,72.73625447826608
78,99,52,84.90179173728248
88,70,43,71.31949242141776
91,92,46,91.59387214286326
71,61,53,60.5837840066961
43,49,87,48.577744293077664
69,86,92,75.38564695185467
76,79,63,81.776006372144
62,54,80,55.364000317864146
78,41,39,63.66533234718028
84,68,50,81.56180254682472
54,46,66,53.15309138270712
82,74,36,68.4345680810366
68,40,42,54.79947976481524
75,99,59,73.38795419099245
52,52,60,66.84132116451131
71,99,34,75.34905214835072
46,67,61,49.19742023955783
98,31,45,63.26406215331914
90,66,51,75.89566895121496
61,78,93,66.02788247050846
67,81,73,64.8783945345614
41,62,69,54.36884040489719
81,51,66,74.02999169816341
84,34,45,65.77610981252211
96,47,72,76.20131215093508
92,67,92,83.12745296188615
45,66,44,51.35835094450216
67,93,73,80.96063519378531
67,39,38,46.51615992770246
83,71,94,77.71291178900404
83,77,73,77.31117013303803
59,73,49,59.98880327160467
69,45,99,67.52764541451144
50,83,62,62.175486568185896
97,64,35,78.07012355414906
94,57,60,67.28591888911892
67,31,95,53.79279973761066
64,42,47,50.67402815767727
78,70,57,75.7179467796005
72,88,97,78.54025110572228
40,98,94,67.99458880362857
96,82,74,88.04070211506004
66,74,87,74.18048377730314
96,49,76,85.72287556099835
91,53,95,83.87322089168957
52,90,81,74.18731571193113
80,87,65,78.46601812939646
42,56,30,51.167519275149594
78,55,68,69.45803831133611
45,36,30,29.523399020855038
47,71,43,65.69193331413832
66,76,52,66.43091301095137
48,82,72,65.64886250807585
76,88,51,69.256952688075
72,67,89,84.88559724552731
90,98,56,81.63373042659725
81,82,85,80.17376594953505
83,44,31,53.25452716543833
63,55,68,63.422888480138795
54,77,80,64.6924231036478
98,48,48,65.28202905778981
93,38,91,75.76214536105675
71,93,96,83.07397479838035
71,83,92,77.56261995979506
63,80,34,53.1955601227143
80,68,90,79.85397903614879
91,33,36,56.261798516765985
88,32,79,73.84608508023933
88,93,75,84.1229450649183
97,58,43,79.13809445307643
91,40,98,77.17041429900887
51,87,94,70.72697410217476
78,56,94,80.98148694766303
41,50,86,48.623671878202096
42,68,91,54.12113033445026
88,75,49,79.07850869769791
76,95,55,70.92975578421951
88,65,73,74.10610638650873
95,94,96,87.00419193288778
56,92,99,81.15911281109689
98,64,91,81.38662462159631
88,60,74,73.52860312018376
41,57,40,39.149737537754206
41,30,63,40.172893469190925
67,54,75,63.985278177305844
93,72,61,84.42988528218504
62,96,34,59.99021839034835
76,92,92,80.99539033539843
71,80,58,78.21369233776659
72,31,77,65.90529902471653
40,93,45,53.510973621263645
58,98,54,68.95263432338182
41,38,58,53.34017619654091
92,31,81,65.53008864978753
83,63,75,65.79369496124933
65,89,54,67.31952828790901
71,90,52,72.48311055205046
45,60,63,49.08902272298447
71,39,96,71.28454966708253
94,65,63,80.15327845015756
43,78,61,54.077861160177534
94,99,58,85.60506505812447
50,78,38,52.2682605330156
95,32,95,80.24866940493683
98,34,86,74.03733007358989
56,90,68,62.63544760366709
77,55,36,67.00950690257001
63,34,98,59.91798758381
44,44,37,35.80050073437902
91,45,47,76.96410859933046
73,30,78,64.15273468315344
45,45,45,45.23124531032751
61,66,50,59.240769722306176
50,32,39,40.998301463287106
87,81,33,72.89630670233316
55,76,73,63.53213228244489
72,42,37,53.051473527443854
48,84,84,65.48325111458236
99,50,48,71.05260903745295
98,95,93,97.21727143069508
45,83,69,61.082614614056105
55,56,80,56.79762780132635
68,67,38,61.26589645356021
42,87,59,61.61469631002443
59,91,85,62.51793050824994
99,75,73,89.49099153893542
98,40,88,72.46809864121757
75,37,44,55.105582620471154
58,93,97,62.15158848046268
65,50,99,70.12830855282587
42,92,90,62.89881994752518
58,93,52,64.80094828988797
59,49,76,59.85330066557088
71,37,46,45.945995919533964
46,87,86,66.61029132352698
91,75,83,87.84123271683704
80,60,81,75.07100671179536
72,38,51,55.63074731938438
79,44,68,66.50576563201584
78,55,42,63.52253814276832
57,39,95,62.99267870052549
79,58,81,79.3750510843175
40,65,43,46.04583286713917
50,66,92,64.35763915150237
67,52,57,57.16208551470525
96,70,75,86.08353909820485
64,57,57,62.80062145819084
89,77,31,72.96603023810228
62,67,46,62.89508490320339
70,60,88,70.61596424196526
69,43,81,63.359675781130925
81,58,33,60.098176433167026
74,80,32,68.25981411429218
46,78,66,56.71042237013786
99,72,53,86.04840882210206
55,34,64,46.28399867855668
65,71,31,61.34419861779224
87,36,62,65.39688434430882
96,71,39,78.43160787650682
91,65,91,82.90849768868465
99,56,72,76.60998874840092
88,87,98,95.1689263176372
41,75,88,56.16415575547499
40,95,38,59.31287144577331
87,54,89,69.00810070177468
51,56,92,59.25538993718626
44,30,81,54.8459306173535
76,71,52,68.32275767317596
71,81,59,72.08236410567105
98,54,72,87.61305385939578
94,83,97,90.58588476020293
48,96,50,64.09503079628325
80,35,72,67.92319442274778
74,87,36,63.401536760335496
58,99,45,65.27244074350281
87,82,52,79.14935333632575
55,95,87,65.42071010016738
42,87,60,65.94902272596295
59,31,98,62.18207274026222
63,51,35,56.83741780008403
93,66,94,91.69998224259835
95,49,88,83.416229902086
72,53,57,62.15054798675968
63,94,47,60.93878205302317
91,94,39,78.09394049164467
50,30,36,37.93881333463758
88,32,66,69.89394155068062
47,75,74,61.20447212490857
75,84,45,63.87263418842921
77,93,43,79.32566045579992
79,74,40,76.34681995607205
59,55,63,65.97769477084304
74,94,89,77.35036159289965
87,53,42,69.40785116326339
64,64,68,59.76814868492998
74,53,73,77.1959235035633
64,57,57,60.652887740067875
68,45,69,59.44906773637361
57,88,45,61.12892523656578
85,83,79,84.87017564478246
57,45,57,55.97807150392715
41,44,97,44.85971498300643
93,40,89,83.28431946526152
74,94,41,75.75456531778977
55,97,45,72.54412207072494
80,72,82,86.55353326416835
75,98,83,83.00292855342099
72,42,78,68.48453529092166
43,39,65,43.321082853284956
72,70,91,72.8614122839128
53,79,55,69.06189316522321
60,88,85,69.70448125048732
87,68,51,75.0823437551463
59,32,98,54.16121656262817
95,36,78,70.6219734657694
47,78,31,50.57439607310202
46,55,82,63.13572913935134
42,62,36,49.368841672008855
56,77,49,65.10929411354267
72,31,59,48.06588601079906
87,61,96,81.17324218379844
51,33,88,51.08752669968485
98,49,95,85.1616153195617
90,65,32,82.93262934291104
61,61,85,53.847210974898786
94,57,46,75.29724571098053
61,30,81,66.72392804560575
85,89,36,73.85106076564759
69,85,34,67.54919526907344
77,64,83,77.68284964194793
77,59,90,63.42054630386812
84,83,45,77.23092165568737
90,65,96,79.72967634828437
93,84,88,99.53884395293395
47,87,76,63.76314396531882
66,94,77,73.04829881665454
66,98,93,85.23315810516577
73,80,79,78.74006357700934
60,51,70,63.779673026841614
69,82,51,78.85211920186963
72,65,83,69.17396334280498
67,97,34,77.99517916817948
86,65,46,81.08724017979732
72,81,70,70.45749523350128
44,82,64,56.04178105932023
99,79,69,87.23611260758364
87,70,51,73.70161349071768
58,47,77,67.04527591661791
43,51,82,48.88037648087286
74,95,39,74.52329414832204
88,50,47,64.57256772931964
56,73,78,66.0423407241938
83,76,59,86.8084899868191
67,68,48,72.61520625302956
69,58,84,70.59262431789277
68,83,89,79.84884840318601
85,46,50,68.65745089224482
92,89,55,82.17997373938982
45,60,57,61.48274168333858
74,78,68,80.59775312725684
99,31,62,72.37186381669201
80,77,69,75.81577030717226
76,43,58,61.740210522210845
63,88,49,69.39387411949805
68,87,49,69.72476193838992
88,87,41,83.99754542601914
85,80,54,79.6951343566481
92,31,54,61.33127608244487
70,70,33,56.86692509134854
74,45,33,62.05399692742051
99,33,38,61.21831550236628
72,41,44,55.356949605785175
91,58,55,71.7018761673281
60,36,61,46.807529904928465
71,43,81,66.15104068122581
62,41,61,54.880923287021986
72,34,38,50.61092116780584
42,61,42,58.1259348419879
57,72,85,54.94533676492253
64,98,73,71.68317619115687
81,74,59,71.61626087265562
70,38,45,48.60811365747979
93,78,41,89.38953849400993
97,62,95,97.33678454424796
42,47,47,41.077702552927505
79,38,42,65.64368228564886
85,91,53,83.38270832102238
63,86,41,73.78057446440178
89,58,89,79.16397643950926
71,54,89,71.65804261438299
86,44,30,69.21273011110291
61,35,72,61.6479746661856
62,71,84,69.85817389704086
41,58,69,46.98712284004502
66,33,93,57.68321543258462
81,86,63,69.65407786866945
41,78,63,60.43633833014833
65,73,77,70.86081973145006
56,43,62,54.74631880108282
79,32,97,68.37416906297007
72,91,59,69.38325134120286
48,93,58,65.0630856173388
82,74,52,76.62625529345468
93,87,63,80.85912490363665
87,49,44,66.85825788970203
78,87,82,78.25825660495622
68,86,46,67.92229060764888
81,97,93,82.5230035740657
94,81,90,87.95901184704294
65,66,86,77.63692957295622
74,37,66,58.79043248430669
89,73,36,70.19541096339319
64,34,37,46.50941240420798
63,98,97,79.34892289324434
52,60,50,62.96160665496223
99,74,90,96.72849505988393
97,38,58,70.78289988215752
46,61,54,48.88590284540429
96,62,87,75.19509890078814
75,96,43,70.34341367268962
84,59,95,68.8272910799431
59,58,83,67.2005866084056
40,32,96,55.47778089148953
47,86,59,59.22384424356023
85,59,47,71.51947349922204
55,38,83,50.055061940639035
53,55,50,43.300570105970195
51,31,82,51.478371532483635
90,91,45,83.21671069852563
62,32,57,60.51986885866017
54,75,33,66.4159170965779
67,97,84,78.00715950688256
73,54,44,66.0605738855283
41,80,93,64.67545116734787
71,42,94,66.91135635182759
62,73,45,61.7126128598652
61,64,49,58.775252747887095
90,84,93,88.29037811513808
64,38,62,64.08306857353628
97,31,98,78.4728917685611
61,90,98,85.8093081069502
97,70,87,82.40845283871649
97,73,68,69.8363376785016
61,93,65,69.0855277557199
88,60,97,77.21975299450546
91,76,50,70.83210717437017
81,31,92,74.70325102184621
45,98,35,52.218041358382926
54,87,53,66.6139292701606
93,73,82,94.87097161177259
82,85,79,76.55042792749583
99,72,41,78.14531331275373
76,63,85,80.66354082348548
72,59,44,60.423003835825014
47,99,69,68.66194744527729
92,84,70,88.39647043861049
99,96,98,98.76797408222363
83,42,98,71.45843362478138
83,32,35,54.19559794547671
44,55,96,52.22609904990525
78,86,62,80.1825690738597
43,53,72,48.51057074656315
45,82,50,63.0798811168049
84,99,94,98.44583621620819
71,72,46,60.51593952173509
91,89,37,83.29096257940304
69,87,93,89.49492847897167
86,78,57,73.52333298606989
74,71,42,72.7032097461963
94,95,42,86.7096534664176
79,40,67,69.70242206147046
91,47,54,66.61798004366139
55,81,91,79.52592455111795
52,75,52,55.55164770131468
89,73,50,79.60322087881413
99,51,83,81.08382213366272
81,82,92,86.18326603138667
69,88,59,67.78290103829512
58,59,97,59.96318092985875
56,37,61,52.73515429513228
95,86,53,82.06373726866178
58,49,36,48.89354782014335
67,54,30,58.42409171219849
97,48,32,61.82661354516199
94,34,57,74.6344144546343
65,56,72,64.2975644270335
76,69,75,77.51414572792957
65,55,30,57.63674117640538
92,56,67,79.11248813964376
62,91,64,65.10771353200597
48,79,83,70.12344047493019
51,71,53,58.76457057616628
92,58,57,72.4250315642125
40,68,51,49.97355064345946
97,89,45,86.01068056274563
97,70,42,78.80114412082324
40,62,91,59.7862104537594
86,45,72,79.16695058230331
73,52,61,59.11681774310911
71,36,96,69.25137254246738
93,55,86,79.66350497848106
87,41,94,80.31272363123139
64,34,98,69.92823968313539
79,98,78,85.48061252694121
84,78,62,80.90403830420205
92,55,48,78.18032418218091
40,34,65,48.1911955291517
55,51,99,68.88385298736667
78,42,44,58.90957948340921
44,57,53,47.11558681957939
61,62,56,54.61912881737244
68,52,78,64.22329501770704
94,47,52,71.07916201670444
42,59,62,50.38199192831426
51,55,70,58.46114227523981
65,45,85,65.59129299216657
55,68,58,59.17285859186899
90,62,60,77.3338545145045
76,55,94,77.43372151553146
61,77,47,59.00606817414551
96,94,35,87.86610257790142
68,67,81,67.24317176317835
53,31,69,56.79540180563006
67,35,94,63.631218974896456
44,75,71,59.02050886024233
86,79,97,77.15149363723678
88,67,61,79.58944567180929
69,47,39,56.875285389952616
85,56,98,79.77073879002896
91,70,38,73.63460495324235
44,46,98,58.52597830004888
51,91,90,74.92735770997568
55,58,40,55.320117385424936
65,87,97,84.58533956538486
65,99,37,66.00350984100007
87,51,78,71.43575262396209
60,35,53,53.13351841974145
78,55,62,71.20889239789645
75,68,48,70.08347767063142
72,41,31,48.062354129703955
69,43,84,58.1874397951456
76,51,40,60.3760664562597
62,80,46,55.25364025725581
97,52,71,79.60448543028559
49,77,90,65.2258211716335
93,79,32,72.0276900426439
44,42,64,44.64128677124232
75,39,95,68.74863644152155
73,84,30,60.232381174580354
91,38,36,61.08299983580459
70,81,49,67.7830515609393
49,31,72,46.700994011753394
97,54,35,70.3446949594869
58,42,84,65.1952707812395
97,80,50,87.24277149827121
71,87,80,74.38432103985814
40,63,75,48.714026511165756
95,64,64,77.43324851619774
44,32,37,45.13580088128379
84,88,97,77.16345229412678
43,99,45,60.617933713146535
55,77,96,68.25973163464656
63,93,93,83.99184505203431
55,48,31,53.0057391308015
94,96,30,74.45930936691869
41,34,87,54.083262674697394
88,96,30,67.13118046372927
67,40,36,55.761384944033736
71,97,98,87.71025241930006
66,98,47,80.22583566023904
59,30,61,51.836724323557924
63,92,74,70.57784402482832
51,58,62,50.25818419225159
89,41,78,79.70114089869482
74,70,62,78.88555740236566
99,31,97,75.95762384505542
72,66,57,67.31094969303344
72,74,82,81.4165290046914
90,77,73,86.54534198669727
82,53,84,72.766105979607
76,51,39,57.301704409026684
51,40,43,41.893531291878936
42,87,65,64.8667743146118
40,75,63,53.264986006320726
72,58,47,60.76690527467733
79,64,45,70.75951833085114
49,44,66,51.30300899507907
82,89,70,83.64720008858517
83,71,54,71.97983294577413
68,72,37,61.171943405029644
52,78,47,55.12779999957142
51,93,97,76.34484119868499
70,61,77,69.12526610411744
85,93,99,91.66577777999846
41,31,96,43.90131726329166
90,53,47,73.77853707969923
89,95,47,83.96039776892123
74,67,85,77.7515187331959
62,60,52,61.12569654827029
56,55,64,58.73008077698521
65,58,35,47.799253924771804
47,96,55,68.988765211455
68,54,90,61.59771114957959
65,77,44,69.58537646613284
49,94,61,64.53596583539941
65,82,41,57.266408328893334
73,96,34,71.66933712747168
90,47,93,70.19882978248371
80,38,56,68.13991255526822
46,67,74,55.32131263618295
43,50,64,44.09407607412852
97,94,55,91.00424066939216
92,50,52,71.18824921983766
89,56,42,72.30083544364673
84,99,32,77.53051570639396
50,73,58,64.28326604774894
68,57,95,68.09243433548546
95,74,93,80.42055735721246
75,46,57,57.22848059703294
64,69,65,67.87594037465534
60,32,35,43.31101615201893
96,95,40,90.91692988120671
75,75,67,67.54660358248154
49,59,63,59.8911021461723
76,98,96,84.43475342630815
48,38,75,56.937669401587684
63,40,58,57.628155256265565
74,98,89,85.16252468509337
88,95,83,92.42200124514524
74,60,98,80.7332693254121
87,62,38,69.44598201058795
75,68,39,56.31501236746223
57,75,97,76.40022776585306
88,66,87,79.84377631241625
78,89,81,94.69949629884269
71,60,63,63.08654156504801
63,40,64,54.396020730821824
62,31,62,56.4222273661657
71,56,61,68.30791426063689
76,31,84,66.21311858783587
51,50,37,45.10037081243379
88,87,75,79.2990306554227
94,34,43,62.41457288274168
52,81,37,50.11671035641372
62,74,83,80.11722768894371
64,49,50,51.57688270730616
74,90,43,71.12972918040234
80,67,31,69.76224796522106
69,49,90,67.22610707671136
56,54,46,50.44331991598815
88,31,77,67.95705245021279
59,61,37,52.1570526702492
87,55,85,75.72771570162529
64,99,46,72.85273285213327
61,70,98,65.91656343100085
52,96,41,68.40220348056444
98,30,67,71.76343363641031
58,80,47,59.48256018784318
88,34,55,63.62183072895531
75,42,66,69.13725208938331
51,48,99,63.792043967157596
80,41,70,67.49985795276339
58,77,71,63.297650917984
51,54,70,58.54121855569395
48,86,76,65.07079739759251
46,64,43,59.52834514336494
67,34,30,49.51227521038005
53,51,46,59.41908881665603
70,86,84,78.57415478558117
91,76,82,79.51577451926694
58,83,60,82.3835876872207
97,32,91,69.06520739227093
86,82,37,65.1163796165972
55,60,59,46.926320889387256
92,98,95,108.09841067710758
44,62,74,66.01995220158925
74,79,47,70.82005853334714
51,45,74,55.97071012004658
64,68,48,63.25460748885299
91,75,97,78.54671914168155
98,76,79,94.8941377333925
60,73,54,69.33929963754107
75,38,67,56.14453470367115
92,79,65,84.32841546918864
62,89,97,76.73292886303766
55,44,85,56.64420509962429
96,65,68,77.70451318215271
78,92,92,84.43838441399215
84,98,36,75.96577083049188
92,70,87,89.72120647586763
81,53,88,73.86179351198226
97,78,77,83.83727521905531
78,47,34,59.773934765012626
53,36,65,49.59350552097215
70,33,54,54.78307508113544
97,98,74,96.08544380170193
44,89,48,56.91679545347288
74,84,36,66.54460348615773
62,45,87,55.09942143288069
68,58,95,70.35702542302866
82,52,68,76.42676656027832
50,43,47,46.680952375860635
57,78,30,55.391004867831064
86,62,92,76.2138207555588
51,54,32,39.48082774498785
48,50,50,54.882261005524065
49,46,59,52.52350875112141
97,52,40,75.9481514517223
83,86,51,78.75534780488472
56,87,86,67.2732120167496
77,43,32,56.21578390444218
46,49,59,46.99730245708366
85,59,74,72.91569914644124
52,48,65,51.346355550112676
79,82,93,88.22388184027908
81,85,83,92.7085749307713
48,52,97,54.638629524323015
89,91,79,86.75395130837185
66,62,60,64.68391035856803
97,47,58,69.29773552015699
41,62,88,56.96406101247131
44,61,65,55.05818783666429
68,90,96,79.8099435588685
76,83,40,74.0351433295961
77,46,40,60.301643618340655
58,48,55,40.07085032886705
47,99,82,64.79748232517564
87,63,43,78.16203628818877
84,54,93,79.40141030900348
40,97,39,42.644160963766794
61,40,60,46.94919910965463
91,45,65,75.60910115614027
56,90,39,59.919227243224256
46,36,55,31.2887887081921
64,45,49,60.59695283594848
84,45,73,73.71935437453843
43,69,91,56.25343780222113
75,41,38,63.62512817861657
45,64,53,48.342946628112095
99,50,41,69.58547588593308
70,79,89,74.07152296814422
58,72,45,50.12263711686519
83,46,58,68.96353883611721
93,61,61,79.60052541239072
78,70,64,70.50736178792035
66,35,72,61.43126686797426
49,56,82,49.74437013990863
65,49,49,60.43040219299986
58,54,37,54.22699080495166
78,95,71,78.24656072078382
42,38,99,54.27057733645878
84,82,45,71.19206293493133
52,90,98,78.12555451902095
89,67,82,83.63525844631306
67,32,74,59.71821342261306
97,99,80,91.88813915348564
59,84,35,65.57590914559836
67,30,62,60.918552676975494
47,99,44,70.03446350241106
80,74,43,68.07356464745294
78,76,68,79.49268526217575
40,55,92,61.877202452937766
42,43,34,39.484779686776264
52,83,81,74.12714340767964
67,75,45,65.79432336559908
96,60,67,74.3067310934867
99,88,82,88.75017362983135
88,58,82,70.58292781870725
64,46,75,60.6054744978973
95,43,44,68.39908216882496
72,65,88,74.04195157453273
77,87,79,87.20851059966162
92,53,38,69.41783345399621
45,92,55,59.764353446787126
97,54,32,70.10247397315355
83,88,76,73.83325243965311
84,61,34,70.51732639091709
71,47,91,67.04603762519785
84,66,34,69.00165880759613
86,55,39,66.29617530736503
60,38,92,60.436925499134986
55,93,54,59.641207277623415
93,49,73,75.79459721372503
60,83,54,62.67983854777298
50,59,59,54.6746456687739
99,82,43,77.62518793385658
76,92,72,82.39282270200191
75,40,57,61.00702660768987
74,60,48,58.12260367288074
58,78,71,71.33167781432357
59,48,49,51.128293697146944
96,41,40,66.50690025318474
57,44,83,62.291084767853306
86,60,53,76.96690057569315
80,72,99,79.07061077610125
88,66,46,73.55742408575539
53,58,57,58.709844302467374
54,55,79,65.61630711165576
70,31,84,61.54338658362577
40,44,39,43.358682072377114
92,33,50,61.33028323845997
93,79,87,80.03848384888234
93,67,63,81.9744896350393
42,52,72,46.96536840254858
55,88,40,57.278214340707606
62,57,62,63.70709884433358
96,95,87,93.16275546109739
50,37,75,52.237851414075486
51,58,90,54.483787164270126
49,40,91,50.144644568602104
71,47,30,63.753094900581814
55,84,50,59.40997074488932
47,79,91,64.38353747459556
77,43,93,71.18681502735653
51,38,85,48.55019571072459
63,40,30,56.263999228478596
67,92,50,71.13751487240843
92,96,51,83.81792684860682
47,82,83,70.04056644251443
97,68,33,80.05899973205373
67,85,94,87.63495441185333
75,57,80,68.41483853835268
65,68,92,82.26638751530305
47,54,44,51.73070130301046
97,50,65,84.95201721507209
99,39,58,77.72901955172152
89,72,81,79.0900951322726
67,44,75,57.53145422020683
67,77,98,67.17938640144195
76,50,58,54.54710935819052
80,89,76,78.83867117344307
75,79,54,78.33502499311031
66,52,45,55.10936419892454
93,42,70,69.71786056960383
56,98,94,79.69818138475866
48,33,98,49.19233415908537
72,38,49,66.40282559053058
92,64,98,83.49166255877181
59,50,65,62.153443169560184
52,87,87,68.4996629719809
67,47,77,63.12288571136572
87,72,31,76.93542912776117
68,35,58,57.24675213681368
52,96,45,71.26897173934063
85,41,64,63.68358110599843
74,41,91,61.00485258473937
45,95,33,48.85336858585168
57,31,97,63.47482864314157
90,44,80,78.7079422461111
44,52,62,48.67181035343862
86,58,53,72.49377655994094
64,36,54,58.94721637778011
41,57,57,48.048839463802715
49,43,36,35.799736099235936
95,73,65,73.66347315683811
69,59,39,54.52666730410321
89,61,65,76.31102254710227
98,99,47,83.39187598576503
84,35,35,64.6674364638418
44,56,36,39.63200499482109
94,53,41,67.63268485826784
95,63,70,71.2932489542893
72,69,92,72.87404143926496
93,76,54,80.13560684407607
40,53,82,57.68879292059161
57,94,62,69.69992191919067
71,47,35,60.3045016293411
86,73,91,88.12556612212545
88,86,95,90.76137377437695
50,57,38,45.216941382808585
60,52,96,66.82302017521502
65,63,45,67.83902174160256
64,40,84,59.22529420108644
61,64,69,66.27325469606579
98,71,55,83.9441691687488
66,57,67,61.655116742433144
88,53,64,77.38664536217041
52,37,97,54.57654187596392
72,82,88,80.4652578313096
73,33,43,53.80313028775631
80,34,76,65.61813985549679
74,78,71,79.26786667724149
40,59,80,43.965157021308876
60,92,48,70.28498390479537
87,76,95,88.8358415745438
94,55,76,75.8254957347478
45,86,94,66.94322356311986
67,66,71,62.618970486966035
56,36,67,48.20492446293256
44,69,42,52.454782996203676
70,68,73,83.12569708299307
44,91,53,63.219820952123676
77,82,59,70.65842806448796
42,33,99,54.57897555988876
92,54,67,78.50444265845925
62,36,52,43.565671528101944
76,57,86,70.7205949757531
92,98,52,85.08726381069297
76,96,65,80.39040549949395
49,49,86,56.242424704097644
49,40,30,43.23883474733237
58,96,32,59.52427500805666
56,36,43,45.77435000833785
60,52,63,56.87106331550087
53,90,99,79.0998110372053
48,63,98,59.01250404791569
85,48,80,71.67756864701016
40,87,58,55.919992931360426
90,38,77,79.73687833473333
84,77,45,77.42582821971189
52,70,86,59.53151154434202
43,77,39,54.387233287763806
40,74,48,46.74189584043468
